iter	Passed	Remaining
222	3823	13321
223	3838	13298
224	3855	13279
225	3871	13260
226	3888	13241
227	3904	13221
228	3921	13203
229	3938	13184
230	3955	13166
231	3972	13148
232	3990	13134
233	4006	13114
234	4023	13096
235	4040	13079
236	4055	13057
237	4072	13038
238	4090	13023
239	4106	13003
240	4123	12986
241	4139	12966
242	4156	12949
243	4173	12932
244	4190	12913
245	4206	12893
246	4222	12872
247	4239	12855
248	4256	12839
249	4272	12817
250	4288	12798
251	4306	12781
252	4322	12763
253	4340	12748
254	4358	12732
255	4376	12718
256	4391	12697
257	4409	12680
258	4424	12659
259	4441	12641
260	4457	12620
261	4474	12602
262	4490	12583
263	4508	12568
264	4524	12548
265	4541	12530
266	4557	12511
267	4573	12492
268	4589	12472
269	4606	12455
270	4624	12439
271	4640	12420
272	4657	12401
273	4673	12381
274	4688	12360
275	4704	12341
276	4720	12321
277	4735	12299
278	4751	12279
279	4768	12261
280	4783	12239
281	4799	12218
282	4815	12199
283	4833	12184
284	4867	12211
285	4891	12210
286	4917	12216
287	4947	12232
288	4963	12212
289	4980	12192
290	4996	12173
291	5012	12154
292	5028	12133
293	5044	12112
294	5061	12095
295	5076	12074
296	5093	12055
297	5110	12039
298	5126	12018
299	5142	11999
300	5159	11982
301	5178	11968
302	5195	11951
303	5217	11944
304	5249	11960
305	5279	11972
306	5303	11971
307	5347	12013
308	5374	12018
309	5396	12011
310	5414	11994
311	5431	11976
312	5449	11960
313	5466	11941
314	5482	11921
315	5499	11903
316	5515	11883
317	5531	11863
318	5548	11845
319	5565	11826
320	5581	11806
321	5599	11789
322	5615	11769
323	5632	11751
324	5649	11732
325	5666	11716
326	5684	11699
327	5701	11681
328	5720	11667
329	5738	11651
330	5756	11634
331	5773	11616
332	5790	11599
333	5807	11579
334	5825	11564
335	5842	11545
336	5859	11527
337	5876	11509
338	5951	11604
339	5981	11611
340	6004	11604
341	6036	11613
342	6061	11610
343	6079	11592
344	6095	11572
345	6113	11554
346	6130	11535
347	6148	11518
348	6176	11521
349	6204	11522
350	6227	11514
351	6250	11507
352	6271	11494
353	6289	11476
354	6305	11455
355	6322	11437
356	6339	11417
357	6357	11400
358	6373	11380
359	6393	11365
360	6411	11348
361	6429	11331
362	6447	11313
363	6466	11298
364	6486	11284
365	6506	11270
366	6526	11256
367	6546	11242
368	6564	11224
369	6583	11210
370	6601	11192
371	6620	11176
372	6642	11165
373	6661	11150
374	6678	11130
375	6695	11112
376	6714	11095
377	6732	11078
378	6751	11061
379	6766	11040
380	6782	11019
381	6798	10998
382	6813	10976
383	6829	10956
384	6845	10935
385	6860	10912
386	6875	10890
387	6891	10869
388	6907	10849
389	6923	10828
390	6941	10812
391	6960	10796
392	6978	10779
393	6998	10764
394	7017	10748
395	7036	10732
396	7052	10711
397	7067	10689
398	7082	10668
399	7103	10655
400	7126	10644
401	7141	10623
402	7157	10602
403	7175	10585
404	7193	10567
405	7211	10550
406	7230	10535
407	7251	10521
408	7272	10509
409	7291	10493
410	7309	10475
411	7327	10457
412	7343	10437
413	7360	10418
414	7378	10401
415	7397	10384
416	7415	10367
417	7435	10352
418	7459	10342
419	7477	10326
420	7495	10309
421	7512	10289
422	7529	10270
423	7546	10251
424	7562	10232
425	7579	10213
426	7596	10194
427	7613	10174
428	7629	10155
429	7646	10136
430	7663	10117
431	7680	10099
432	7697	10079
433	7713	10059
434	7729	10039
435	7746	10021
436	7763	10001
437	7781	9984
438	7799	9967
439	7819	9951
440	7840	9937
441	7862	9926
442	7894	9925
443	7911	9907
444	7929	9889
445	7946	9871
446	7964	9852
447	7980	9833
448	7996	9813
449	8016	9797
450	8035	9781
451	8053	9764
452	8070	9745
453	8087	9726
454	8103	9706
455	8121	9689
456	8139	9671
457	8157	9653
458	8174	9634
459	8193	9618
460	8211	9601
461	8231	9585
462	8252	9571
463	8274	9558
464	8294	9542
465	8312	9525
466	8330	9508
467	8347	9489
468	8364	9470
469	8381	9451
470	8397	9431
471	8414	9412
472	8430	9393
473	8448	9374
474	8465	9356
475	8485	9341
476	8505	9325
477	8525	9310
478	8546	9295
479	8569	9283
480	8590	9269
481	8608	9251
482	8627	9234
483	8648	9220
484	8670	9206
485	8695	9196
486	8719	9185
487	8739	9169
488	8759	9153
489	8782	9140
490	8802	9125
491	8825	9112
492	8851	9103
493	8873	9088
494	8897	9077
495	8920	9064
496	8950	9058
497	8973	9045
498	9001	9037
499	9026	9026
500	9056	9020
501	9077	9005
502	9097	8988
503	9118	8973
504	9139	8958
505	9160	8942
506	9179	8925
507	9199	8909
508	9218	8892
509	9239	8876
510	9255	8856
511	9274	8839
512	9292	8821
513	9311	8803
514	9328	8785
515	9347	8767
516	9364	8748
517	9383	8731
518	9403	8714
519	9420	8695
520	9438	8677
521	9456	8659
522	9473	8640
523	9489	8620
524	9505	8600
525	9522	8580
526	9539	8561
527	9555	8541
528	9571	8521
529	9587	8501
530	9603	8482
531	9620	8463
532	9637	8444
533	9654	8424
534	9671	8405
535	9687	8386
536	9704	8367
537	9721	8347
538	9737	8328
539	9753	8308
540	9770	8289
541	9785	8268
542	9801	8249
543	9818	8229
544	9835	8211
545	9852	8192
546	9871	8175
547	9896	8162
548	9917	8146
549	9937	8130
550	9962	8117
551	9984	8103
552	10003	8085
553	10021	8067
554	10039	8049
555	10056	8030
556	10073	8011
557	10090	7992
558	10108	7974
559	10136	7964
560	10157	7948
561	10180	7933
562	10202	7919
563	10234	7912
564	10251	7892
565	10269	7874
566	10285	7855
567	10302	7835
568	10320	7817
569	10337	7798
570	10353	7778
571	10369	7758
572	10385	7739
573	10401	7719
574	10418	7700
575	10439	7684
576	10455	7664
577	10471	7645
578	10488	7626
579	10509	7610
580	10530	7594
581	10548	7575
582	10567	7558
583	10589	7542
584	10611	7527
585	10631	7510
586	10650	7493
587	10672	7478
588	10695	7462
589	10716	7446
590	10741	7433
591	10763	7418
592	10784	7402
593	10806	7386
594	10829	7371
595	10846	7352
596	10865	7334
597	10882	7315
598	10899	7296
599	10916	7277
600	10934	7259
601	10954	7242
602	10972	7223
603	10988	7204
604	11006	7186
605	11024	7167
606	11042	7149
607	11062	7132
608	11082	7115
609	11100	7096
610	11116	7077
611	11137	7061
612	11159	7044
613	11178	7027
614	11199	7010
615	11221	6995
616	11240	6977
617	11259	6959
618	11278	6942
619	11303	6927
620	11327	6913
621	11377	6914
622	11412	6906
623	11438	6892
624	11463	6877
625	11491	6865
626	11514	6850
627	11538	6834
628	11563	6820
629	11592	6808
630	11614	6791
631	11644	6780
632	11676	6769
633	11709	6759
634	11743	6750
635	11779	6741
636	11799	6723
637	11822	6707
638	11840	6689
639	11861	6672
640	11886	6657
641	11905	6639
642	11928	6622
643	11950	6606
644	11969	6587
645	11987	6569
646	12005	6550
647	12022	6530
648	12040	6512
649	12059	6493
650	12077	6474
651	12097	6456
652	12114	6437
653	12134	6419
654	12155	6402
655	12175	6384
656	12194	6366
657	12213	6348
658	12233	6330
659	12251	6311
660	12269	6292
661	12290	6274
662	12310	6257
663	12331	6240
664	12353	6223
665	12372	6204
666	12391	6186
667	12409	6167
668	12429	6149
669	12449	6132
670	12478	6118
671	12503	6102
672	12528	6087
673	12551	6071
674	12583	6058
675	12606	6042
676	12637	6029
677	12661	6013
678	12679	5994
679	12699	5976
680	12719	5958
681	12737	5939
682	12756	5920
683	12776	5902
684	12795	5884
685	12814	5865
686	12836	5848
687	12855	5829
688	12873	5811
689	12895	5793
690	12914	5775
691	12934	5756
692	12951	5737
693	12969	5718
694	12986	5699
695	13003	5679
696	13021	5660
697	13042	5643
698	13062	5624
699	13079	5605
700	13098	5586
701	13115	5567
702	13133	5548
703	13150	5529
704	13167	5509
705	13184	5490
706	13204	5472
707	13224	5454
708	13247	5437
709	13270	5420
710	13288	5401
711	13321	5388
712	13357	5376
713	13402	5368
714	13432	5354
715	13468	5342
716	13500	5328
717	13521	5310
718	13545	5293
719	13571	5277
720	13604	5264
721	13631	5248
722	13660	5233
723	13686	5217
724	13719	5204
725	13759	5192
726	13801	5182
727	13838	5170
728	13871	5156
729	13907	5143
730	13951	5133
731	13986	5120
732	14031	5111
733	14076	5101
734	14117	5089
735	14159	5078
736	14199	5067
737	14231	5052
738	14259	5036
739	14284	5018
740	14314	5003
741	14344	4987
742	14365	4969
743	14383	4949
744	14403	4930
745	14420	4909
746	14437	4889
747	14455	4870
748	14478	4851
749	14494	4831
750	14512	4811
751	14528	4791
752	14546	4771
753	14565	4752
754	14587	4733
755	14604	4713
756	14630	4696
757	14651	4677
758	14669	4657
759	14686	4637
760	14702	4617
761	14719	4597
762	14736	4577
763	14752	4556
764	14767	4536
765	14783	4516
766	14799	4495
767	14815	4475
768	14836	4456
769	14862	4439
770	14876	4418
771	14892	4398
772	14909	4378
773	14928	4358
774	14949	4340
775	14981	4324
776	15023	4311
777	15071	4300
778	15106	4285
779	15131	4267
780	15161	4251
781	15183	4232
782	15207	4214
783	15226	4195
784	15246	4175
785	15270	4157
786	15290	4138
787	15310	4118
788	15327	4099
789	15346	4079
790	15365	4059
791	15387	4041
792	15408	4022
793	15428	4002
794	15448	3983
795	15470	3964
796	15489	3945
797	15509	3925
798	15528	3906
799	15546	3886
800	15571	3868
801	15591	3849
802	15609	3829
803	15628	3809
804	15646	3790
805	15670	3771
806	15690	3752
807	15708	3732
808	15727	3713
809	15747	3693
810	15771	3675
811	15791	3656
812	15808	3636
813	15828	3616
814	15847	3597
815	15864	3577
816	15881	3557
817	15898	3537
818	15915	3517
819	15931	3497
820	15948	3477
821	15965	3457
822	15983	3437
823	16000	3417
824	16017	3397
825	16035	3377
826	16053	3358
827	16071	3338
828	16089	3318
829	16108	3299
830	16129	3280
831	16152	3261
832	16173	3242
833	16198	3224
834	16222	3205
835	16245	3186
836	16264	3167
837	16283	3147
838	16300	3128
839	16317	3108
840	16336	3088
841	16353	3068
842	16370	3048
843	16386	3028
844	16403	3008
845	16419	2988
846	16436	2969
847	16453	2949
848	16471	2929
849	16486	2909
850	16504	2889
851	16520	2869
852	16536	2849
853	16555	2830
854	16572	2810
855	16589	2790
856	16608	2771
857	16625	2751
858	16641	2731
859	16661	2712
860	16679	2692
861	16699	2673
862	16719	2654
863	16738	2634
864	16757	2615
865	16776	2595
866	16795	2576
867	16815	2557
868	16834	2537
869	16851	2518
870	16869	2498
871	16888	2479
872	16906	2459
873	16923	2439
874	16940	2420
875	16957	2400
876	16974	2380
877	16995	2361
878	17021	2343
879	17047	2324
880	17071	2305
881	17091	2286
882	17113	2267
883	17132	2248
884	17150	2228
885	17168	2209
886	17187	2189
887	17205	2170
888	17226	2150
889	17245	2131
890	17264	2112
891	17288	2093
892	17317	2075
893	17349	2057
894	17377	2038
895	17412	2021
896	17432	2001
897	17453	1982
898	17483	1964
899	17504	1944
900	17538	1927
901	17561	1907
902	17581	1888
903	17601	1869
904	17623	1849
905	17646	1830
906	17665	1811
907	17684	1791
908	17703	1772
909	17722	1752
910	17742	1733
911	17762	1713
912	17782	1694
913	17800	1674
914	17818	1655
915	17839	1635
916	17858	1616
917	17878	1596
918	17896	1577
919	17913	1557
920	17932	1538
921	17952	1518
922	17972	1499
923	17989	1479
924	18007	1460
925	18024	1440
926	18042	1420
927	18061	1401
928	18080	1381
929	18099	1362
930	18118	1342
931	18138	1323
932	18158	1303
933	18177	1284
934	18197	1265
935	18217	1245
936	18237	1226
937	18257	1206
938	18276	1187
939	18294	1167
940	18311	1148
941	18328	1128
942	18347	1109
943	18366	1089
944	18385	1070
945	18402	1050
946	18420	1030
947	18444	1011
948	18479	993
949	18505	973
950	18534	954
951	18565	936
952	18594	917
953	18614	897
954	18640	878
955	18662	858
956	18684	839
957	18705	820
958	18724	800
959	18744	781
960	18761	761
961	18788	742
962	18824	723
963	18846	703
964	18889	685
965	18922	666
966	18945	646
967	18971	627
968	18996	607
969	19020	588
970	19043	568
971	19064	549
972	19085	529
973	19109	510
974	19128	490
975	19147	470
976	19166	451
977	19185	431
978	19204	411
979	19224	392
980	19243	372
981	19262	353
982	19279	333
983	19301	313
984	19329	294
985	19361	274
986	19406	255
987	19435	236
988	19457	216
989	19476	196
990	19497	177
991	19517	157
992	19538	137
993	19557	118
994	19577	98
995	19598	78
996	19622	59
997	19643	39
998	19680	19
999	19710	0
